[12:42:54] [main/INFO]: Found mod file compressedcreativity-1.19.2-0.1.5.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file connectivity-1.19.2-4.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file craftingtweaks-forge-1.19.2-15.1.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file create-1.19.2-0.5.0.i.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file createaddition-1.19.2-20230507a.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file createdeco-1.3.2-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.3_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file CTM-1.19.2-1.1.6+8.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
